video_id,label,dataset,method,split,n_crops
celeb-df-v2__Celeb-synthesis__id41_id44_0000,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id37_id28_0002,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id17_id1_0005,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id47_id43_0008,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id20_id24_0000,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id20_id16_0006,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id48_id43_0008,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id35_id26_0006,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id23_id0_0008,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id35_id17_0008,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id53_id55_0006,1,celeb-df-v2,Celeb-synthesis,test,8
celeb-df-v2__Celeb-synthesis__id57_id55_0004,1,celeb-df-v2,Celeb-synthesis,test,8
celeb-df-v2__Celeb-synthesis__id33_id38_0001,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id6_id28_0004,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id17_id16_0007,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id1_id0_0009,1,celeb-df-v2,Celeb-synthesis,test,8
celeb-df-v2__Celeb-synthesis__id23_id37_0009,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id35_id3_0002,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id35_id17_0002,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id25_id26_0006,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id7_id10_0001,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id20_id27_0000,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id52_id49_0003,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id59_id5_0001,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id16_id37_0002,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id2_id35_0007,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id30_id37_0002,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id42_id41_0001,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id32_id29_0001,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id23_id33_0006,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id30_id4_0002,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id60_id59_0004,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id35_id29_0005,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id51_id49_0008,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id40_id42_0001,1,celeb-df-v2,Celeb-synthesis,test,8
celeb-df-v2__Celeb-synthesis__id38_id30_0007,1,celeb-df-v2,Celeb-synthesis,test,8
celeb-df-v2__Celeb-synthesis__id49_id55_0005,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id4_id23_0003,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id16_id28_0004,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-synthesis__id19_id23_0009,1,celeb-df-v2,Celeb-synthesis,test,8
celeb-df-v2__Celeb-synthesis__id52_id49_0007,1,celeb-df-v2,Celeb-synthesis,val,8
celeb-df-v2__Celeb-synthesis__id53_id57_0002,1,celeb-df-v2,Celeb-synthesis,test,8
celeb-df-v2__Celeb-synthesis__id2_id30_0000,1,celeb-df-v2,Celeb-synthesis,holdout,8
celeb-df-v2__Celeb-synthesis__id0_id4_0009,1,celeb-df-v2,Celeb-synthesis,train,8
celeb-df-v2__Celeb-real__id49_0006,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id27_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id32_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id1_0006,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id50_0006,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id55_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id0_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id32_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id0_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id3_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id50_0002,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id61_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id52_0008,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id39_0004,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id2_0007,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id28_0009,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id25_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id45_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id38_0004,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id25_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id53_0004,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id33_0007,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id26_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id26_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id34_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id17_0009,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id50_0005,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id47_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id35_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id19_0008,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id13_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id28_0001,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id36_0000,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id16_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id19_0001,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id60_0007,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id47_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id55_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id38_0009,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id13_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id32_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id48_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id10_0004,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id41_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id56_0007,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id24_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id13_0015,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id59_0003,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id28_0002,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id38_0003,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id7_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id51_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id59_0005,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id22_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id34_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id6_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id27_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id2_0000,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id12_0001,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id8_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id39_0006,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id11_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id56_0000,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id3_0004,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id24_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id6_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id6_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id38_0008,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id36_0003,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id41_0004,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id12_0006,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id23_0001,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id57_0007,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id4_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id57_0002,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id35_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id43_0005,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id0_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id53_0006,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id53_0001,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id46_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id2_0006,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id61_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id22_0004,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id57_0005,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id50_0007,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id7_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id9_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id29_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id30_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id51_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id38_0006,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id56_0004,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id8_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id1_0008,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id16_0004,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id23_0009,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id37_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id61_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id55_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id8_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id27_0004,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id39_0002,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id45_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id8_0004,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id45_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id31_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id6_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id56_0002,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id9_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id57_0000,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id2_0002,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id41_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id44_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id4_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id58_0009,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id43_0000,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id20_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id35_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id34_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id42_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id42_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id10_0007,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id53_0002,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id31_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id49_0009,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id41_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id11_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id43_0004,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id49_0002,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id61_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id23_0008,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id7_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id38_0007,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id1_0001,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id31_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id32_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id32_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id38_0002,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id5_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id9_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id54_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id16_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id47_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id37_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id53_0003,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id30_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id58_0004,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id39_0003,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id0_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id24_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id56_0006,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id39_0009,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id13_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id17_0007,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id37_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id45_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id31_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id7_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id13_0010,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id30_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id53_0009,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id58_0002,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id39_0000,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id9_0004,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id9_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id23_0004,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id26_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id3_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id22_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id52_0000,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id16_0011,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id61_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id16_0010,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id45_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id59_0008,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id51_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id17_0002,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id40_0005,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id55_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id44_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id17_0004,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id43_0003,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id10_0008,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id0_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id56_0008,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id24_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id22_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id44_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id34_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id25_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id8_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id3_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id5_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id37_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id43_0009,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id57_0003,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id31_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id39_0008,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id9_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id46_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id1_0004,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id16_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id21_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id34_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id52_0002,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id3_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id48_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id40_0003,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id28_0003,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id11_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id13_0012,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id32_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id27_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id25_0004,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id27_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id6_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id55_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id9_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id3_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id20_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id40_0006,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id60_0004,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id53_0005,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id51_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id48_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id16_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id4_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id19_0006,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id46_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id10_0003,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id5_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id21_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id25_0010,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id21_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id47_0004,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id26_0008,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id60_0006,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id12_0002,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id44_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id19_0007,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id16_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id32_0009,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id36_0007,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id60_0000,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id37_0002,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id40_0007,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id59_0007,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id39_0007,0,celeb-df-v2,Celeb-real,val,8
celeb-df-v2__Celeb-real__id54_0003,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id11_0004,0,celeb-df-v2,Celeb-real,train,7
celeb-df-v2__Celeb-real__id36_0004,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id17_0008,0,celeb-df-v2,Celeb-real,holdout,8
celeb-df-v2__Celeb-real__id29_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id29_0005,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id26_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id29_0000,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id41_0001,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id38_0001,0,celeb-df-v2,Celeb-real,test,8
celeb-df-v2__Celeb-real__id3_0007,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id35_0006,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id42_0004,0,celeb-df-v2,Celeb-real,train,8
celeb-df-v2__Celeb-real__id35_0007,0,celeb-df-v2,Celeb-real,train,8
